t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1647549722,372,3617,32.876344,2,231.327566,13.500000,18.000000,29.000000,110.480000,177.230000,3617.000000
1647549752,378,3617,32.468254,2,229.502519,13.000000,18.000000,29.000000,109.040000,174.290000,3617.000000
1647549782,381,3617,32.312336,2,228.601940,13.000000,18.000000,28.700000,108.320000,172.820000,3617.000000
1647549812,390,3617,31.876923,2,225.962267,13.000000,18.000000,29.000000,106.160000,168.410000,3617.000000
1647549842,396,3617,31.575758,2,224.255092,13.000000,17.750000,29.000000,104.720000,165.470000,3617.000000
1647549872,405,3617,31.076543,2,221.769463,13.000000,17.000000,28.100000,103.880000,163.460000,3617.000000
1647549902,414,3617,30.589372,2,219.364955,13.000000,17.000000,26.750000,103.700000,162.650000,3617.000000
1647549932,423,3617,30.122931,2,217.038128,13.000000,17.000000,26.000000,103.520000,161.840000,3617.000000
1647549962,429,3617,29.752914,2,215.534002,13.000000,17.000000,26.000000,103.400000,161.300000,3617.000000
1647549992,435,3617,29.409195,2,214.059066,13.000000,17.000000,26.000000,103.280000,160.760000,3617.000000
1647550022,438,3617,29.262557,2,213.330444,13.000000,17.000000,26.000000,103.220000,160.490000,3617.000000
1647550052,447,3617,28.780761,2,211.194247,13.000000,17.000000,25.600000,103.040000,159.680000,3617.000000
1647550082,453,3617,28.547461,2,209.797913,13.000000,17.000000,25.300000,102.520000,159.140000,3617.000000
1647550112,459,3617,28.311547,2,208.429375,13.000000,17.000000,25.000000,101.800000,158.600000,3617.000000
1647550142,462,3617,28.186147,2,207.755895,13.000000,17.000000,25.000000,101.440000,158.330000,3617.000000
1647550172,468,3617,27.938034,2,206.428626,13.000000,16.000000,25.000000,100.720000,157.790000,3617.000000
1647550202,471,3617,27.834395,2,205.772882,13.000000,16.000000,25.000000,100.360000,157.520000,3617.000000
1647550232,480,3617,27.493750,2,203.845924,12.500000,16.000000,25.000000,99.280000,156.710000,3617.000000
1647550262,492,3617,27.002033,2,201.364283,12.000000,16.000000,25.000000,97.840000,155.630000,3617.000000
1647550292,498,3617,26.811245,2,200.152629,12.000000,16.000000,25.000000,97.120000,155.090000,3617.000000
1647550322,507,3617,26.483235,2,198.380960,12.000000,16.000000,24.600000,92.200000,152.040000,3617.000000
1647550352,516,3617,26.141473,2,196.657115,12.000000,16.000000,24.150000,86.800000,148.710000,3617.000000
1647550382,519,3617,26.042389,2,196.091171,12.000000,16.000000,24.000000,85.000000,147.600000,3617.000000
1647550412,525,3617,25.824762,2,194.975942,12.000000,16.000000,24.000000,81.400000,145.380000,3617.000000
1647550442,528,3617,25.734848,2,194.423875,12.000000,16.000000,24.000000,79.600000,144.270000,3617.000000
1647550472,534,3617,25.524345,2,193.336699,12.000000,16.000000,24.000000,76.000000,142.050000,3617.000000
1647550502,537,3617,25.433892,2,192.798673,12.000000,16.000000,24.000000,74.200000,140.940000,3617.000000
1647550532,543,3617,25.239411,2,191.737582,12.000000,16.000000,23.800000,70.600000,138.720000,3617.000000
1647550562,546,3617,25.144689,2,191.213400,12.000000,16.000000,23.650000,68.800000,137.610000,3617.000000
1647550593,552,3617,24.963768,2,190.177409,12.000000,16.000000,23.350000,66.220000,135.390000,3617.000000
1647550623,555,3617,24.863063,2,189.666721,12.000000,16.000000,23.200000,65.440000,134.280000,3617.000000
1647550653,561,3617,24.686275,2,188.655652,12.000000,16.000000,23.000000,63.880000,132.060000,3617.000000
1647550683,564,3617,24.592199,2,188.156761,12.000000,16.000000,23.000000,63.100000,130.950000,3617.000000
1647550713,570,3617,24.370175,2,187.174528,11.500000,15.250000,23.000000,61.540000,128.730000,3617.000000
1647550743,573,3617,24.258290,2,186.689431,11.000000,15.000000,23.000000,60.760000,127.620000,3617.000000
1647550773,579,3617,24.067358,2,185.727543,11.000000,15.000000,23.000000,59.200000,125.400000,3617.000000
1647550803,582,3617,24.000000,2,185.249936,11.000000,15.000000,23.000000,58.420000,124.290000,3617.000000
1647550833,591,3617,23.786802,2,183.840273,11.000000,15.000000,23.000000,56.080000,120.960000,3617.000000
1647550863,594,3617,23.700337,2,183.378766,11.000000,15.000000,23.000000,55.300000,119.850000,3617.000000
1647550893,600,3617,23.531667,2,182.466140,11.000000,15.000000,23.000000,53.980000,117.980000,3617.000000
1647550923,606,3617,23.338284,2,181.569419,11.000000,15.000000,23.000000,53.860000,117.860000,3617.000000
1647550953,612,3617,23.178105,2,180.683090,11.000000,15.000000,23.000000,53.740000,117.740000,3617.000000
1647550983,615,3617,23.110569,2,180.243766,11.000000,15.000000,23.000000,53.680000,117.680000,3617.000000
1647551013,621,3617,22.948470,2,179.377455,11.000000,15.000000,23.000000,53.560000,117.560000,3617.000000
1647551043,624,3617,22.908654,2,178.946022,11.000000,15.000000,23.000000,53.500000,117.500000,3617.000000
1647551073,630,3617,22.760317,2,178.097581,11.000000,15.000000,23.000000,53.380000,117.380000,3617.000000
1647551103,633,3617,22.665087,1,177.679767,11.000000,15.000000,23.000000,53.320000,117.320000,3617.000000
1647551133,639,3617,22.538341,1,176.847723,11.000000,15.000000,23.000000,53.200000,117.200000,3617.000000
1647551163,642,3617,22.487539,1,176.434970,11.000000,15.000000,23.000000,53.140000,117.140000,3617.000000
1647551193,648,3617,22.657407,1,175.678222,11.000000,15.000000,23.000000,67.600000,117.020000,3617.000000
1647551224,651,3617,22.603687,1,175.274184,11.000000,15.000000,23.000000,66.480000,116.960000,3617.000000
1647551254,657,3617,22.461187,1,174.477649,11.000000,15.000000,23.000000,64.920000,116.840000,3617.000000
1647551284,660,3617,22.410606,1,174.081878,11.000000,15.000000,23.000000,64.140000,116.780000,3617.000000
1647551314,666,3617,22.315315,1,173.300321,11.000000,15.000000,23.000000,62.580000,116.660000,3617.000000
1647551344,669,3617,22.242152,1,172.914185,11.000000,15.000000,23.000000,61.800000,116.600000,3617.000000
1647551374,675,3617,22.091852,1,172.150615,11.000000,15.000000,23.000000,60.240000,116.480000,3617.000000
1647551404,678,3617,22.026549,1,171.771582,11.000000,15.000000,23.000000,59.460000,116.420000,3617.000000
1647551434,684,3617,21.894737,1,171.021342,11.000000,15.000000,23.000000,57.900000,116.300000,3617.000000
1647551464,687,3617,21.842795,1,170.648895,11.000000,15.000000,23.000000,57.120000,116.240000,3617.000000
1647551494,693,3617,21.720058,1,169.912770,11.000000,15.000000,23.000000,55.560000,116.120000,3617.000000
1647551524,696,3617,21.659483,1,169.548373,11.000000,15.000000,23.000000,54.780000,116.060000,3617.000000
1647551554,702,3617,21.544160,1,168.825895,11.000000,15.000000,23.000000,53.940000,115.760000,3617.000000
1647551584,705,3617,21.487943,1,168.468141,11.000000,15.000000,23.000000,53.880000,115.520000,3617.000000
1647551614,711,3617,21.365682,1,167.760220,10.000000,15.000000,23.000000,53.760000,115.040000,3617.000000
1647551644,714,3617,21.306723,1,167.409383,10.000000,15.000000,23.000000,53.700000,114.800000,3617.000000
1647551674,720,3617,21.195833,1,166.713830,10.000000,15.000000,22.950000,53.580000,114.320000,3617.000000
1647551704,723,3617,21.138313,1,166.369512,10.000000,15.000000,22.800000,53.520000,114.080000,3617.000000
1647551734,729,3617,21.023320,1,165.687390,10.000000,15.000000,22.500000,53.400000,113.600000,3617.000000
1647551764,732,3617,20.972678,1,165.349009,10.000000,15.000000,22.350000,53.340000,113.360000,3617.000000
1647551794,738,3617,20.869919,1,164.678534,10.000000,15.000000,22.050000,53.220000,112.880000,3617.000000
1647551824,741,3617,20.825911,1,164.345971,10.000000,15.000000,22.000000,53.160000,112.640000,3617.000000
1647551854,747,3617,20.685408,1,163.691313,10.000000,14.000000,22.000000,53.040000,112.160000,3617.000000
1647551884,750,3617,20.645333,1,163.364564,10.000000,14.250000,22.000000,52.720000,111.920000,3617.000000
1647551914,756,3617,20.546296,1,162.717955,10.000000,14.000000,22.000000,51.040000,111.440000,3617.000000
1647551944,759,3617,20.498024,1,162.397488,10.000000,14.000000,22.000000,50.200000,111.200000,3617.000000
1647551974,765,3617,20.384314,1,161.763664,10.000000,14.000000,22.000000,48.520000,110.720000,3617.000000
1647552004,768,3617,20.333333,1,161.449072,10.000000,14.000000,22.000000,47.680000,110.480000,3617.000000
1647552034,774,3617,20.224806,1,160.826290,10.000000,14.000000,22.000000,46.000000,110.000000,3617.000000
1647552064,780,3617,20.112821,1,160.210957,10.000000,14.000000,22.000000,44.320000,109.520000,3617.000000
1647552094,786,3617,19.994911,1,159.603266,10.000000,14.000000,22.000000,42.640000,109.040000,3617.000000
1647552124,789,3617,19.953105,1,159.300634,10.000000,14.000000,22.000000,41.800000,108.800000,3617.000000
1647552154,795,3617,19.845283,1,158.702786,10.000000,14.000000,22.000000,40.120000,108.320000,3617.000000
1647552184,798,3617,19.800752,1,158.405485,9.500000,14.000000,22.000000,39.280000,108.080000,3617.000000
1647552214,804,3617,19.703980,1,157.816900,9.000000,14.000000,22.000000,38.500000,107.800000,3617.000000
1647552244,807,3617,19.654275,1,157.525037,9.000000,14.000000,22.000000,38.200000,107.680000,3617.000000
1647552274,813,3617,19.559656,1,156.946040,9.000000,14.000000,22.000000,37.600000,107.440000,3617.000000
1647552304,816,3617,19.517157,1,156.658535,9.000000,14.000000,22.000000,37.300000,107.320000,3617.000000
1647552334,822,3617,19.411192,1,156.090018,9.000000,14.000000,22.000000,36.700000,107.080000,3617.000000
1647552364,825,3617,19.369697,1,155.807162,9.000000,14.000000,22.000000,36.400000,106.960000,3617.000000
1647552394,830,3617,19.281928,1,155.340756,9.000000,14.000000,22.000000,35.900000,106.760000,3617.000000
1647552424,834,3617,19.218225,1,154.970261,9.000000,14.000000,22.000000,35.500000,106.600000,3617.000000
1647552454,838,3617,19.162291,1,154.601882,9.000000,14.000000,22.000000,35.100000,106.440000,3617.000000
1647552487,843,3617,19.075919,1,154.146424,9.000000,14.000000,22.000000,34.600000,106.240000,3617.000000
1647552517,849,3617,18.959953,1,153.606328,9.000000,14.000000,22.000000,34.000000,106.000000,3617.000000
1647552547,852,3617,18.917840,1,153.337045,9.000000,14.000000,22.000000,34.000000,105.880000,3617.000000
1647552577,858,3617,18.800699,1,152.805727,9.000000,14.000000,22.000000,34.000000,105.640000,3617.000000
1647552607,861,3617,18.745645,1,152.541841,9.000000,14.000000,22.000000,34.000000,105.520000,3617.000000
1647553637,870,3617,18.589655,1,151.757644,9.000000,14.000000,22.000000,34.000000,105.160000,3617.000000
1647553667,873,3617,18.537228,1,151.499012,9.000000,14.000000,22.000000,34.000000,105.040000,3617.000000
1647553697,879,3617,18.461889,1,150.984289,9.000000,14.000000,22.000000,34.000000,104.800000,3617.000000
1647553727,882,3617,18.431973,1,150.727876,9.000000,14.000000,21.850000,34.000000,104.680000,3617.000000
1647553757,888,3617,18.355856,1,150.220355,9.000000,14.000000,21.550000,34.000000,104.440000,3617.000000
1647553787,891,3617,18.344557,1,149.967904,9.000000,14.000000,22.000000,34.000000,104.320000,3617.000000
1647553817,897,3617,18.290970,1,149.467429,9.000000,14.000000,22.000000,34.000000,104.080000,3617.000000
1647553847,900,3617,18.266667,1,149.218610,9.000000,14.000000,22.000000,33.960000,103.990000,3617.000000
1647553877,905,3617,18.186740,1,148.809306,9.000000,14.000000,22.000000,33.760000,103.940000,3617.000000
